Year,Month,Value
1983,11,5935.601
1983,10,5701.452
1983,9,5699.808
1983,8,6128.631
1983,7,5941.322
1983,6,5677.988
1983,5,5692.724
1983,4,5869.679
1983,3,6431.871
1983,2,6065.647
1983,1,6907.502
1982,12,6458.452
1982,11,5978.943
1982,10,5726.507
1982,9,5549.273
1982,8,5818.627
1982,7,5835.852
1982,6,5572.673
1982,5,5602.379
1982,4,6040.586
1982,3,6544.007
1982,2,6471.248
1982,1,7448.166
1981,12,7088.566
1981,11,6138.31
1981,10,6144.075
1981,9,5820.751
1981,8,6112.916
1981,7,6208.435
1981,6,5995.702
1981,5,5939.55
1981,4,5875.206
1981,3,6606.21
1981,2,6484.509
1981,1,7639.252
1980,12,7363.795
1980,11,6420.238
1980,10,6316.59
1980,9,5970.443
1980,8,6063.599
1980,7,6135.448
1980,6,5872.463
1980,5,6007.37
1980,4,6158.453
1980,3,7021.907
1980,2,7123.145
1980,1,7565.016
1979,12,7337.632
1979,11,6679.042
1979,10,6543.22
1979,9,6052.908
1979,8,6492.996
1979,7,6276.536
1979,6,6143.07
1979,5,6346.644
1979,4,6287.42
1979,3,7150.421
1979,2,7410.205
1979,1,8092.205
1978,12,7474.491
1978,11,6685.469
1978,10,6425.237
1978,9,6087.552
1978,8,6496.081
1978,7,6340.19
1978,6,6149.904
1978,5,6337.994
1978,4,6169.931
1978,3,6965.503
1978,2,7052.381
1978,1,7721.485
1977,12,7442.248
1977,11,6485.295
1977,10,6272.418
1977,9,6080.223
1977,8,6300.623
1977,7,6195.785
1977,6,6085.89
1977,5,5997.456
1977,4,5979.305
1977,3,6573.861
1977,2,6654.863
1977,1,7852.451
1976,12,7658.479
1976,11,6729.925
1976,10,6244.598
1976,9,5739.519
1976,8,5970.726
1976,7,6024.682
1976,6,5824.544
1976,5,5793.322
1976,4,5855.319
1976,3,6391.633
1976,2,6393.452
1976,1,7312.324
1975,12,6926.691
1975,11,5850.411
1975,10,5908.704
1975,9,5498.393
1975,8,5744.318
1975,7,5669.107
1975,6,5435.627
1975,5,5491.667
1975,4,5797.914
1975,3,6383.482
1975,2,6168.996
1975,1,7056.118
1974,12,6842.659
1974,11,6235.546
1974,10,6182.018
1974,9,5711.198
1974,8,6015.502
1974,7,5985.353
1974,6,5642.248
1974,5,5864.485
1974,4,5861.066
1974,3,6370.767
1974,2,6314.3
1974,1,6904.043
1973,12,6886.904
1973,11,6519.033
1973,10,6174.862
1973,9,5773.515
1973,8,6191.657
1973,7,5951.909
1973,6,5802.683
1973,5,6071.94
1973,4,5941.729
1973,3,6521.439
1973,2,6592.366
1973,1,7223.873
2022,12,8668.383
2022,11,8625.486
2022,10,8758.589
2022,9,8562.476
2022,8,8813.29
2022,7,8775.517
2022,6,8568.14
2022,5,8740.734
2022,4,8322.991
2022,3,8704.276
2022,2,7762.689
2022,1,8557.087
2021,12,8670.054
2021,11,8337.091
2021,10,8375.287
2021,9,8057.599
2021,8,8411.122
2021,7,8355.772
2021,6,8161.979
2021,5,8396.546
2021,4,8010.488
2021,3,8360.4
2021,2,6850.257
2021,1,8243.739
2020,12,8100.196
2020,11,7852.197
2020,10,7755.087
2020,9,7701.638
2020,8,7968.964
2020,7,8014.047
2020,6,7622.965
2020,5,7480.063
2020,4,7775.455
2020,3,8485.728
2020,2,8123.956
2020,1,8772.034
2019,12,8763.201
2019,11,8467.751
2019,10,8651.781
2019,9,8425.059
2019,8,8765.608
2019,7,8537.514
2019,6,8335.032
2019,5,8651.73
2019,4,8326.411
2019,3,8343.293
2019,2,7687.611
2019,1,8531.332
2018,12,8478.212
2018,11,8181.256
2018,10,8265.326
2018,9,7988.615
2018,8,8403.339
2018,7,8113.26
2018,6,7866.949
2018,5,7967.106
2018,4,7603.102
2018,3,7980.851
2018,2,7208.5
2018,1,7746.07
2017,12,7737.651
2017,11,7544.161
2017,10,7580.653
2017,9,7230.285
2017,8,7516.456
2017,7,7414.646
2017,6,7306.0
2017,5,7337.437
2017,4,7018.323
2017,3,7400.069
2017,2,6746.042
2017,1,7299.009
2016,12,7202.939
2016,11,7032.505
2016,10,7110.886
2016,9,6856.598
2016,8,7196.661
2016,7,7137.98
2016,6,6897.7
2016,5,6995.046
2016,4,6727.723
2016,3,7137.936
2016,2,6812.103
2016,1,7232.943
2015,12,7283.738
2015,11,7117.313
2015,10,7369.965
2015,9,7325.535
2015,8,7650.223
2015,7,7539.279
2015,6,7123.558
2015,5,7368.835
2015,4,7331.749
2015,3,7593.954
2015,2,6875.218
2015,1,7714.26
2014,12,7774.73
2014,11,7371.353
2014,10,7523.123
2014,9,7297.763
2014,8,7562.948
2014,7,7550.424
2014,6,7230.598
2014,5,7361.907
2014,4,7136.803
2014,3,7298.1
2014,2,6475.834
2014,1,7176.104
2013,12,6981.775
2013,11,6845.351
2013,10,6885.486
2013,9,6801.887
2013,8,7121.169
2013,7,7064.109
2013,6,6744.4
2013,5,6920.834
2013,4,6616.221
2013,3,6812.175
2013,2,6228.362
2013,1,6844.278
2012,12,6761.905
2012,11,6546.418
2012,10,6684.444
2012,9,6442.528
2012,8,6797.166
2012,7,6752.07
2012,6,6455.473
2012,5,6601.695
2012,4,6276.502
2012,3,6654.506
2012,2,6338.065
2012,1,6938.295
2011,12,6878.954
2011,11,6657.879
2011,10,6681.976
2011,9,6439.808
2011,8,6706.967
2011,7,6500.339
2011,6,6433.98
2011,5,6437.992
2011,4,6302.05
2011,3,6674.793
2011,2,5894.352
2011,1,6494.694
2010,12,6571.941
2010,11,6254.228
2010,10,6334.765
2010,9,6278.248
2010,8,6401.56
2010,7,6336.494
2010,6,6196.441
2010,5,6206.204
2010,4,6051.2
2010,3,6379.287
2010,2,5737.331
2010,1,6158.51
2009,12,6127.085
2009,11,5852.835
2009,10,5991.571
2009,9,5904.703
2009,8,6178.134
2009,7,6205.382
2009,6,6074.153
2009,5,6076.213
2009,4,5926.726
2009,3,6239.91
2009,2,5718.002
2009,1,6296.151
2008,12,6297.724
2008,11,5952.466
2008,10,6100.074
2008,9,5638.863
2008,8,6296.118
2008,7,6397.995
2008,6,6069.528
2008,5,6214.129
2008,4,5997.734
2008,3,6163.45
2008,2,5819.765
2008,1,6196.416
2007,12,6075.292
2007,11,5927.4
2007,10,5979.562
2007,9,5773.595
2007,8,6136.688
2007,7,6005.923
2007,6,5945.816
2007,5,6087.619
2007,4,5759.346
2007,3,6038.686
2007,2,5473.064
2007,1,6134.685
2006,12,6022.427
2006,11,5787.726
2006,10,5870.345
2006,9,5752.807
2006,8,6067.08
2006,7,5997.598
2006,6,5970.951
2006,5,6029.176
2006,4,5742.21
2006,3,5987.906
2006,2,5414.109
2006,1,6034.964
2005,12,5804.013
2005,11,5592.563
2005,10,5473.985
2005,9,5390.317
2005,8,5982.733
2005,7,5925.577
2005,6,5925.535
2005,5,5906.135
2005,4,5754.439
2005,3,6131.405
2005,2,5520.605
2005,1,5969.421
2004,12,6031.906
2004,11,5699.11
2004,10,5747.836
2004,9,5685.233
2004,8,5985.25
2004,7,5993.601
2004,6,5901.41
2004,5,5809.624
2004,4,5741.277
2004,3,5985.225
2004,2,5568.064
2004,1,6020.802
2003,12,5981.777
2003,11,5579.069
2003,10,5896.787
2003,9,5753.875
2003,8,5935.407
2003,7,5891.463
2003,6,5820.217
2003,5,5938.245
2003,4,5762.653
2003,3,5919.49
2003,2,5404.339
2003,1,6001.246
2002,12,5982.816
2002,11,5712.618
2002,10,5807.055
2002,9,5726.036
2002,8,6026.873
